Name,Description,Category,Price,Tags,Dietary_Info,Standard_Category
,,Soups,,,Unknown,Soups
,,Soups,,,Unknown,Soups
,,Soups,,,Unknown,Soups
,,Soups,,,Unknown,Soups
,,Soups,,,Unknown,Soups
,,Soups,,,Unknown,Soups
,,Soups,,,Unknown,Soups
,,Soups,,,Unknown,Soups
,,Salads,,,Unknown,Salads
,,Salads,,,Unknown,Salads
,,Salads,,,Unknown,Salads
,,Salads,,,Unknown,Salads
,,Salads,,,Unknown,Salads
,,Salads,,,Unknown,Salads
,,Salads,,,Unknown,Salads
,,Salads,,,Unknown,Salads
,,Salads,,,Unknown,Salads
,,Salads,,,Unknown,Salads
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Biryani,,,Unknown,Biryani
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Pizza and Pasta,,,Unknown,Pasta & Pizza
,,Pizza and Pasta,,,Unknown,Pasta & Pizza
,,Pizza and Pasta,,,Unknown,Pasta & Pizza
,,Pizza and Pasta,,,Unknown,Pasta & Pizza
,,Pizza and Pasta,,,Unknown,Pasta & Pizza
,,Pizza and Pasta,,,Unknown,Pasta & Pizza
,,Pizza and Pasta,,,Unknown,Pasta & Pizza
,,Pizza and Pasta,,,Unknown,Pasta & Pizza
,,Pizza and Pasta,,,Unknown,Pasta & Pizza
,,Pizza and Pasta,,,Unknown,Pasta & Pizza
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Dimsums,,,Unknown,Dimsums
,,Dimsums,,,Unknown,Dimsums
,,Dimsums,,,Unknown,Dimsums
,,Dimsums,,,Unknown,Dimsums
,,Dimsums,,,Unknown,Dimsums
,,Dimsums,,,Unknown,Dimsums
,,Dimsums,,,Unknown,Dimsums
,,Dimsums,,,Unknown,Dimsums
,,Baos,,,Unknown,Baos
,,Baos,,,Unknown,Baos
,,Baos,,,Unknown,Baos
,,Baos,,,Unknown,Baos
,,Baos,,,Unknown,Baos
,,Baos,,,Unknown,Baos
,,Baos,,,Unknown,Baos
,,Sushi,,,Unknown,Sushi
,,Sushi,,,Unknown,Sushi
,,Sushi,,,Unknown,Sushi
,,Sushi,,,Unknown,Sushi
,,Sushi,,,Unknown,Sushi
,,Sushi,,,Unknown,Sushi
,,Fried Wontons,,,Unknown,Fried wontons
,,Fried Wontons,,,Unknown,Fried wontons
,,Fried Wontons,,,Unknown,Fried wontons
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,Pan Asian Large Plates,,,Unknown,Pan asian large plates
,,European Large Plates,,,Unknown,European large plates
,,European Large Plates,,,Unknown,European large plates
,,European Large Plates,,,Unknown,European large plates
,,European Large Plates,,,Unknown,European large plates
,,European Large Plates,,,Unknown,European large plates
,,Accompaniments,,,Unknown,Accompaniments
,,Accompaniments,,,Unknown,Accompaniments
,,Desserts,,,Unknown,Desserts
,,Desserts,,,Unknown,Desserts
,,Desserts,,,Unknown,Desserts
,,Desserts,,,Unknown,Desserts
Amritsari Chicken Keema Bao,Amritsari Chicken Keema Bao is a delicious chicken dish priced at Rs 625.,,Rs 625,,Non-Vegetarian,Uncategorized
Amritsari Paneer Bhurji Bao,Amritsari Paneer Bhurji Bao is a classic Indian vegetarian dish priced at Rs 525.,,Rs 525,,Vegetarian,Uncategorized
Asian Green Sliced Sichuan Chilli Oil,Asian Green Sliced Sichuan Chilli Oil is a  item priced at Rs 595.,,Rs 595,,Unknown,Uncategorized
Asian Vegetable Wonton,Asian Vegetable Wonton is a  item priced at Rs 495.,,Rs 495,,Vegetarian,Uncategorized
Asparagus Tempura Sushi [8 Pieces],Asparagus Tempura Sushi [8 Pieces] is a  item priced at Rs 895.,,Rs 895,,Unknown,Uncategorized
Asparagus Water Chestnut and Sichuan Chilli Dimsums [12 inches],Asparagus Water Chestnut and Sichuan Chilli Dimsums [12 inches] is a  item priced at Rs 595.,,Rs 595,,Unknown,Uncategorized
Baked Fusilli Primavera Pasta,Baked Fusilli Primavera Pasta is a  item priced at Rs 595.,,Rs 595,,Unknown,Uncategorized
Basil Pesto Spaghetti Pasta,Basil Pesto Spaghetti Pasta is a  item priced at Rs 595.,,Rs 595,,Unknown,Uncategorized
Beetroot and Green Salad,Beetroot and Green Salad is a  item priced at Rs 495.,,Rs 495,SPICY,Unknown,Uncategorized
Berry Burrata Bhel,Berry Burrata Bhel is a  item priced at Rs 495.,,Rs 495,,Unknown,Uncategorized
Black Rice Bhel Puri,Black Rice Bhel Puri is a  item priced at Rs 345.,,Rs 345,,Unknown,Uncategorized
Brioche Vada Pav,Brioche Vada Pav is a  item priced at Rs 395.,,Rs 395,,Unknown,Uncategorized
Brown Tofu,Brown Tofu is a  item priced at Rs 545.,,Rs 545,,Vegetarian,Uncategorized
Burani Raita,Burani Raita is a  item priced at Rs 325.,,Rs 325,,Unknown,Uncategorized
Butter Chicken,Butter Chicken is a delicious chicken dish priced at Rs 675.,,Rs 675,,Non-Vegetarian,Uncategorized
Butter Garlic Seafood,Butter Garlic Seafood is a  item priced at Rs 965.,,Rs 965,,Unknown,Uncategorized
Butter Naan,Butter Naan is a  item priced at Rs 125.,,Rs 125,,Unknown,Uncategorized
Butter Tandoori Roti,Butter Tandoori Roti is a  item priced at Rs 95.,,Rs 95,,Unknown,Uncategorized
Buttermilk Soaked Chicken 65,Buttermilk Soaked Chicken 65 is a delicious chicken dish priced at Rs 595.,,Rs 595,,Non-Vegetarian,Uncategorized
Charred Cottage Cheese,Charred Cottage Cheese is a  item priced at Rs 695.,,Rs 695,,Vegetarian,Uncategorized
Charred Portobello Mushroom,Charred Portobello Mushroom is a  item priced at Rs 795.,,Rs 795,,Vegetarian,Uncategorized
Chef Special Dum Biryani,Chef Special Dum Biryani is a  item priced at Rs 755.,,Rs 755,,Unknown,Uncategorized
Chermoula Fish Finges,Chermoula Fish Finges is a  item priced at Rs 995.,,Rs 995,,Non-Vegetarian,Uncategorized
