Name,Description,Category,Price,Tags,Dietary_Info,Standard_Category
,,Party Combos [newly added],,,Unknown,Party combos [newly added]
,,Party Combos [newly added],,,Unknown,Party combos [newly added]
,,Party Combos [newly added],,,Unknown,Party combos [newly added]
,,Party Combos [newly added],,,Unknown,Party combos [newly added]
,,Party Combos [newly added],,,Unknown,Party combos [newly added]
,,Party Combos [newly added],,,Unknown,Party combos [newly added]
,,Party Combos [newly added],,,Unknown,Party combos [newly added]
,,Party Combos [newly added],,,Unknown,Party combos [newly added]
,,Party Combos [newly added],,,Unknown,Party combos [newly added]
,,Party Combos [newly added],,,Unknown,Party combos [newly added]
,,Chotu's Mast Vada Pav [special offers],,,Unknown,Chotu's mast vada pav [special offers]
,,Chotu's Mast Vada Pav [special offers],,,Unknown,Chotu's mast vada pav [special offers]
,,Chotu's Mast Vada Pav [special offers],,,Unknown,Chotu's mast vada pav [special offers]
,,Chotu's Mast Vada Pav [special offers],,,Unknown,Chotu's mast vada pav [special offers]
,,Chotu's Mast Vada Pav [special offers],,,Unknown,Chotu's mast vada pav [special offers]
,,Chotu's Mast Vada Pav [special offers],,,Unknown,Chotu's mast vada pav [special offers]
,,Chotu's Mast Vada Pav [special offers],,,Unknown,Chotu's mast vada pav [special offers]
,,Chotu's Mast Pav,,,Unknown,Chotu's mast pav
,,Chotu's Mast Pav,,,Unknown,Chotu's mast pav
,,Chotu's Mast Pav,,,Unknown,Chotu's mast pav
,,Chotu's Mast Pav,,,Unknown,Chotu's mast pav
,,Chotu's Mast Pav,,,Unknown,Chotu's mast pav
,,Chotu's Mast Pav,,,Unknown,Chotu's mast pav
,,Chotu's Mast Pav,,,Unknown,Chotu's mast pav
,,Chotu's Mast Pav,,,Unknown,Chotu's mast pav
,,All Day Breakfast,,,Unknown,All day breakfast
,,All Day Breakfast,,,Unknown,All day breakfast
,,All Day Breakfast,,,Unknown,All day breakfast
,,All Day Breakfast,,,Unknown,All day breakfast
,,All Day Breakfast,,,Unknown,All day breakfast
,,Chai aur Pakoda,,,Unknown,Chai aur pakoda
,,Chai aur Pakoda,,,Unknown,Chai aur pakoda
,,Chai aur Pakoda,,,Unknown,Chai aur pakoda
,,Chai aur Pakoda,,,Unknown,Chai aur pakoda
,,Chai aur Pakoda,,,Unknown,Chai aur pakoda
,,Pav Bhaji,,,Unknown,Pav bhaji
,,Pav Bhaji,,,Unknown,Pav bhaji
,,Pav Bhaji,,,Unknown,Pav bhaji
,,Pav Bhaji,,,Unknown,Pav bhaji
,,Pav Bhaji,,,Unknown,Pav bhaji
,,Pav Bhaji,,,Unknown,Pav bhaji
,,Kebabs & Tikkas,,,Unknown,Kebabs & tikkas
,,Kebabs & Tikkas,,,Unknown,Kebabs & tikkas
,,Kebabs & Tikkas,,,Unknown,Kebabs & tikkas
,,Kebabs & Tikkas,,,Unknown,Kebabs & tikkas
,,Kebabs & Tikkas,,,Unknown,Kebabs & tikkas
,,Kebabs & Tikkas,,,Unknown,Kebabs & tikkas
,,Kebabs & Tikkas,,,Unknown,Kebabs & tikkas
,,Kebabs & Tikkas,,,Unknown,Kebabs & tikkas
,,Kebabs & Tikkas,,,Unknown,Kebabs & tikkas
,,Kebabs & Tikkas,,,Unknown,Kebabs & tikkas
,,Momos,,,Unknown,Momos
,,Momos,,,Unknown,Momos
,,Momos,,,Unknown,Momos
,,Momos,,,Unknown,Momos
,,Dumplings,,,Unknown,Dumplings
,,Dumplings,,,Unknown,Dumplings
,,Dumplings,,,Unknown,Dumplings
,,Chinese Starters,,,Unknown,Appetizers
,,Chinese Starters,,,Unknown,Appetizers
,,Chinese Starters,,,Unknown,Appetizers
,,Chinese Starters,,,Unknown,Appetizers
,,Chinese Starters,,,Unknown,Appetizers
,,Chinese Starters,,,Unknown,Appetizers
,,Chinese Starters,,,Unknown,Appetizers
,,Chinese Starters,,,Unknown,Appetizers
,,Chinese Starters,,,Unknown,Appetizers
,,Chinese Starters,,,Unknown,Appetizers
,,Chinese Starters,,,Unknown,Appetizers
,,Soups [winter special],,,Unknown,Soups [winter special]
,,Soups [winter special],,,Unknown,Soups [winter special]
,,Soups [winter special],,,Unknown,Soups [winter special]
,,Soups [winter special],,,Unknown,Soups [winter special]
,,Garlic Bread,,,Unknown,Garlic bread
,,Garlic Bread,,,Unknown,Garlic bread
,,Garlic Bread,,,Unknown,Garlic bread
,,Garlic Bread,,,Unknown,Garlic bread
,,Garlic Bread,,,Unknown,Garlic bread
,,Garlic Bread,,,Unknown,Garlic bread
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Indian Rice Bowls,,,Unknown,Indian rice bowls
,,Indian Rice Bowls,,,Unknown,Indian rice bowls
,,Indian Rice Bowls,,,Unknown,Indian rice bowls
,,Indian Rice Bowls,,,Unknown,Indian rice bowls
,,Indian Rice Bowls,,,Unknown,Indian rice bowls
,,Indian Rice Bowls,,,Unknown,Indian rice bowls
,,Indian Rice Bowls,,,Unknown,Indian rice bowls
,,Chinese Combos,,,Unknown,Chinese combos
,,Chinese Combos,,,Unknown,Chinese combos
,,Asian Mains,,,Unknown,Main Courses
,,Asian Mains,,,Unknown,Main Courses
,,Asian Mains,,,Unknown,Main Courses
,,Asian Mains,,,Unknown,Main Courses
,,Asian Mains,,,Unknown,Main Courses
,,Asian Mains,,,Unknown,Main Courses
,,Asian Mains,,,Unknown,Main Courses
,,Asian Mains,,,Unknown,Main Courses
,,Asian Mains,,,Unknown,Main Courses
,,Rice and Noodles,,,Unknown,Rice and noodles
,,Rice and Noodles,,,Unknown,Rice and noodles
,,Rice and Noodles,,,Unknown,Rice and noodles
,,Rice and Noodles,,,Unknown,Rice and noodles
,,Rice and Noodles,,,Unknown,Rice and noodles
,,Rice and Noodles,,,Unknown,Rice and noodles
,,Rice and Noodles,,,Unknown,Rice and noodles
,,Rice and Noodles,,,Unknown,Rice and noodles
,,Rice and Noodles,,,Unknown,Rice and noodles
,,Rice and Noodles,,,Unknown,Rice and noodles
,,Rice and Noodles,,,Unknown,Rice and noodles
,,Indian Mains | Home Style,,,Unknown,Main Courses
,,Indian Mains | Home Style,,,Unknown,Main Courses
,,Indian Mains | Home Style,,,Unknown,Main Courses
,,Chotu's Special Tawa,,,Unknown,Chotu's special tawa
,,Chotu's Special Tawa,,,Unknown,Chotu's special tawa
,,Chotu's Special Tawa,,,Unknown,Chotu's special tawa
,,Chotu's Special Tawa,,,Unknown,Chotu's special tawa
,,Chotu's Special Tawa,,,Unknown,Chotu's special tawa
,,Chotu's Special Tawa,,,Unknown,Chotu's special tawa
,,Indian Mains | Non Veg,,,Unknown,Main Courses
,,Indian Mains | Non Veg,,,Unknown,Main Courses
,,Indian Mains | Non Veg,,,Unknown,Main Courses
,,Indian Mains | Non Veg,,,Unknown,Main Courses
,,Indian Mains | Veg,,,Unknown,Main Courses
,,Indian Mains | Veg,,,Unknown,Main Courses
,,Indian Mains | Veg,,,Unknown,Main Courses
,,Indian Mains | Veg,,,Unknown,Main Courses
,,Indian Mains | Dal,,,Unknown,Main Courses
,,Indian Mains | Dal,,,Unknown,Main Courses
,,Indian Mains | Dal,,,Unknown,Main Courses
,,Indian Mains | Dal,,,Unknown,Main Courses
,,Indian Mains | Dal,,,Unknown,Main Courses
,,Biryani & Rice,,,Unknown,Biryani & rice
,,Biryani & Rice,,,Unknown,Biryani & rice
,,Biryani & Rice,,,Unknown,Biryani & rice
,,Biryani & Rice,,,Unknown,Biryani & rice
,,Biryani & Rice,,,Unknown,Biryani & rice
,,Biryani & Rice,,,Unknown,Biryani & rice
,,Biryani & Rice,,,Unknown,Biryani & rice
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Accompaniments,,,Unknown,Accompaniments
,,Accompaniments,,,Unknown,Accompaniments
,,Accompaniments,,,Unknown,Accompaniments
,,Accompaniments,,,Unknown,Accompaniments
,,Accompaniments,,,Unknown,Accompaniments
,,Desserts,,,Unknown,Desserts
,,Desserts,,,Unknown,Desserts
,,Bakery & Cakes,,,Unknown,Bakery & cakes
,,Bakery & Cakes,,,Unknown,Bakery & cakes
A Dozen Vada Pav - Large,A Dozen Vada Pav - Large is a  item priced at Rs 899.,,Rs 899,,Unknown,Uncategorized
A Dozen Vada Pav Sliders!,A Dozen Vada Pav Sliders! is a  item priced at Rs 449.,,Rs 449,,Unknown,Uncategorized
Add Extra Kulcha [2pc],Add Extra Kulcha [2pc] is a  item priced at Rs 79.,,Rs 79,,Unknown,Uncategorized
Afghani Chicken Biryani,Afghani Chicken Biryani is a delicious chicken dish priced at Rs 449.,,Rs 449,,Non-Vegetarian,Uncategorized
Aloo Gobhi,Aloo Gobhi is a  item priced at Rs 299.,,Rs 299,,Unknown,Uncategorized
Aloo Mattar,Aloo Mattar is a  item priced at Rs 199.,,Rs 199,,Unknown,Uncategorized
Aloo Pyaz Kulcha with Rajma,Aloo Pyaz Kulcha with Rajma is a  item priced at Rs 269.,,Rs 269,,Unknown,Uncategorized
American Chopsuey,American Chopsuey is a  item priced at Rs 349.,,Rs 349,,Unknown,Uncategorized
Amritsari Kulcha,Amritsari Kulcha is a  item priced at Rs 149.,,Rs 149,,Unknown,Uncategorized
Anda Bhurji Pav,Anda Bhurji Pav is a  item priced at Rs 199.,,Rs 199,,Unknown,Uncategorized
Assorted Momo Party Box [Non-Veg],Assorted Momo Party Box [Non-Veg] is a  item priced at Rs 899.,,Rs 899,,Non-Vegetarian,Uncategorized
Assorted Momo Party Box [Veg],Assorted Momo Party Box [Veg] is a  item priced at Rs 699.,,Rs 699,,Vegetarian,Uncategorized
Assorted Slider Box with Galouti Pav & Vada Pav,Assorted Slider Box with Galouti Pav & Vada Pav is a  item priced at Rs 1799.,,Rs 1799,,Unknown,Uncategorized
Black Pepper Prawns,Black Pepper Prawns is a  item priced at Rs 899.,,Rs 899,,Non-Vegetarian,Uncategorized
Broccoli Cream Cheese Dumpling,Broccoli Cream Cheese Dumpling is a  item priced at Rs 329.,,Rs 329,,Vegetarian,Uncategorized
Burmese Khao Suey - Chicken,Burmese Khao Suey - Chicken is a delicious chicken dish priced at Rs 549.,,Rs 549,,Non-Vegetarian,Uncategorized
Burmese Khao Suey - Veg,Burmese Khao Suey - Veg is a  item priced at Rs 499.,,Rs 499,,Vegetarian,Uncategorized
Burnt Garlic Rice,Burnt Garlic Rice is a  item priced at Rs 249.,,Rs 249,,Unknown,Uncategorized
Butter Chicken Pasta,Butter Chicken Pasta is a delicious chicken dish priced at Rs 399.,,Rs 399,,Non-Vegetarian,Uncategorized
Butter Chicken Pav,Butter Chicken Pav is a delicious chicken dish priced at Rs 199.,,Rs 199,,Non-Vegetarian,Uncategorized
