Name,Description,Category,Price,Tags,Dietary_Info,Standard_Category
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Bowls,,,Unknown,Bowls
,,Bowls,,,Unknown,Bowls
,,Bowls,,,Unknown,Bowls
,,Bowls,,,Unknown,Bowls
,,Bowls,,,Unknown,Bowls
,,Bowls,,,Unknown,Bowls
,,Bowls,,,Unknown,Bowls
,,Bowls,,,Unknown,Bowls
,,Bowls,,,Unknown,Bowls
,,Sushi,,,Unknown,Sushi
,,Sushi,,,Unknown,Sushi
,,Sushi,,,Unknown,Sushi
,,Sushi,,,Unknown,Sushi
,,Sushi,,,Unknown,Sushi
,,Sushi,,,Unknown,Sushi
,,Sushi,,,Unknown,Sushi
,,Sushi,,,Unknown,Sushi
,,Burgers,,,Unknown,Burgers
,,Burgers,,,Unknown,Burgers
,,Burgers,,,Unknown,Burgers
,,Burgers,,,Unknown,Burgers
,,Burgers,,,Unknown,Burgers
,,Meal Box,,,Unknown,Meal box
,,Meal Box,,,Unknown,Meal box
,,Meal Box,,,Unknown,Meal box
,,Meal Box,,,Unknown,Meal box
,,Meal Box,,,Unknown,Meal box
,,Meal Box,,,Unknown,Meal box
,,Meal Box,,,Unknown,Meal box
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Mains,,,Unknown,Main Courses
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Rice & Noodles,,,Unknown,Rice & Noodles
,,Rice & Noodles,,,Unknown,Rice & Noodles
,,Rice & Noodles,,,Unknown,Rice & Noodles
,,Rice & Noodles,,,Unknown,Rice & Noodles
,,Rice & Noodles,,,Unknown,Rice & Noodles
,,Rice & Noodles,,,Unknown,Rice & Noodles
,,Rice & Noodles,,,Unknown,Rice & Noodles
,,Rice & Noodles,,,Unknown,Rice & Noodles
,,Rice & Noodles,,,Unknown,Rice & Noodles
,,Rice & Noodles,,,Unknown,Rice & Noodles
,,Rice & Noodles,,,Unknown,Rice & Noodles
,,Dessert,,,Unknown,Dessert
,,Dessert,,,Unknown,Dessert
,,Dessert,,,Unknown,Dessert
,,Dessert,,,Unknown,Dessert
,,Dessert,,,Unknown,Dessert
,,Dessert,,,Unknown,Dessert
"Achari Paneer Tikka, Mint Chutney","Achari Paneer Tikka, Mint Chutney is a classic Indian vegetarian dish priced at Rs 375.",,Rs 375,,Vegetarian,Uncategorized
Andhra Chilli Chicken,Andhra Chilli Chicken is a delicious chicken dish priced at Rs 375.,,Rs 375,,Non-Vegetarian,Uncategorized
"Apple Jalebi, Kadhaa Doodh","Apple Jalebi, Kadhaa Doodh is a  item priced at Rs 395.",,Rs 395,,Unknown,Uncategorized
Asparagus Garden Sushi,Asparagus Garden Sushi is a  item priced at Rs 345.,,Rs 345,,Unknown,Uncategorized
Burnt Garlic Fried Rice,Burnt Garlic Fried Rice is a  item priced at Rs 215.,,Rs 215,,Unknown,Uncategorized
Butter Chicken Masala And Dal Makhni Meal Box,Butter Chicken Masala And Dal Makhni Meal Box is a delicious chicken dish priced at Rs 395.,,Rs 395,,Non-Vegetarian,Uncategorized
Cafreal Chicken Tikka,Cafreal Chicken Tikka is a delicious chicken dish priced at Rs 435.,,Rs 435,,Non-Vegetarian,Uncategorized
Chicken Burnt Garlic Fried Rice,Chicken Burnt Garlic Fried Rice is a delicious chicken dish priced at Rs 315.,,Rs 315,,Non-Vegetarian,Uncategorized
Chicken Ghee Roast,Chicken Ghee Roast is a delicious chicken dish priced at Rs 375.,,Rs 375,,Non-Vegetarian,Uncategorized
Chicken Goli Kebaba,Chicken Goli Kebaba is a delicious chicken dish priced at Rs 315.,,Rs 315,,Non-Vegetarian,Uncategorized
Chicken Hakka Noodles,Chicken Hakka Noodles is a delicious chicken dish priced at Rs 315.,,Rs 315,,Non-Vegetarian,Uncategorized
Chicken Tikka Masala,Chicken Tikka Masala is a delicious chicken dish priced at Rs 425.,,Rs 425,,Non-Vegetarian,Uncategorized
Chilli Paratha,Chilli Paratha is a  item priced at Rs 115.,,Rs 115,,Unknown,Uncategorized
Chocolate 75%,Chocolate 75% is a  item priced at Rs 395.,,Rs 395,,Unknown,Uncategorized
Dal Fry,Dal Fry is a  item priced at Rs 275.,,Rs 275,,Vegetarian,Uncategorized
Dal Khichdi,Dal Khichdi is a  item priced at Rs 195.,,Rs 195,,Vegetarian,Uncategorized
Dal Makhni,Dal Makhni is a  item priced at Rs 295.,,Rs 295,,Vegetarian,Uncategorized
Dal Makhni Rice Bowl,Dal Makhni Rice Bowl is a  item priced at Rs 235.,,Rs 235,,Vegetarian,Uncategorized
Dal Tadka,Dal Tadka is a  item priced at Rs 275.,,Rs 275,,Vegetarian,Uncategorized
Delhi Style Tandoori Soya Chap,Delhi Style Tandoori Soya Chap is a  item priced at Rs 345.,,Rs 345,,Unknown,Uncategorized
Egg Burnt Garliv Fried Rice,Egg Burnt Garliv Fried Rice is a  item priced at Rs 275.,,Rs 275,,Non-Vegetarian,Uncategorized
Egg Hakka Noodles,Egg Hakka Noodles is a  item priced at Rs 275.,,Rs 275,,Non-Vegetarian,Uncategorized
Exotic Vegetables Seekh With Malai Jhol,Exotic Vegetables Seekh With Malai Jhol is a  item priced at Rs 345.,,Rs 345,,Vegetarian,Uncategorized
Exotic Vegetables Thai Green Curry,Exotic Vegetables Thai Green Curry is a  item priced at Rs 375.,,Rs 375,,Vegetarian,Uncategorized
Garlic Naan,Garlic Naan is a  item priced at Rs 115.,,Rs 115,,Unknown,Uncategorized
Goan Fish Curry,Goan Fish Curry is a  item priced at Rs 475.,,Rs 475,,Non-Vegetarian,Uncategorized
Gongura Chicken Rice Bowl,Gongura Chicken Rice Bowl is a delicious chicken dish priced at Rs 345.,,Rs 345,,Non-Vegetarian,Uncategorized
Gowda Style Pork Sukka,Gowda Style Pork Sukka is a  item priced at Rs 525.,,Rs 525,,Non-Vegetarian,Uncategorized
"Grilled Bbq Chicken Burger, Caramalized Onion","Grilled Bbq Chicken Burger, Caramalized Onion is a delicious chicken dish priced at Rs 495.",,Rs 495,,Non-Vegetarian,Uncategorized
Gulab Jamun,Gulab Jamun is a  item priced at Rs 75.,,Rs 75,,Unknown,Uncategorized
Jamming Biryani With Cucumber Pachdi,Jamming Biryani With Cucumber Pachdi is a  item priced at Rs 375.,,Rs 375,,Unknown,Uncategorized
Jamming Butter Chicken,Jamming Butter Chicken is a delicious chicken dish priced at Rs 425.,,Rs 425,,Non-Vegetarian,Uncategorized
Jamming Butter Chicken Rice Bowl,Jamming Butter Chicken Rice Bowl is a delicious chicken dish priced at Rs 345.,,Rs 345,,Non-Vegetarian,Uncategorized
Jamming Chicken 65,Jamming Chicken 65 is a delicious chicken dish priced at Rs 325.,,Rs 325,,Non-Vegetarian,Uncategorized
Jamming Chicken Biryani With Cucumber Pachdi,Jamming Chicken Biryani With Cucumber Pachdi is a delicious chicken dish priced at Rs 425.,,Rs 425,,Non-Vegetarian,Uncategorized
Jamming Chilli Chicken,Jamming Chilli Chicken is a delicious chicken dish priced at Rs 375.,,Rs 375,,Non-Vegetarian,Uncategorized
Jamming Goan Fish Curry Rice Bowl,Jamming Goan Fish Curry Rice Bowl is a  item priced at Rs 395.,,Rs 395,,Non-Vegetarian,Uncategorized
"Jamming Lamb Burger, Mint Mayo","Jamming Lamb Burger, Mint Mayo is a  item priced at Rs 515.",,Rs 515,,Non-Vegetarian,Uncategorized
Jamming Maguro Sushi,Jamming Maguro Sushi is a  item priced at Rs 475.,,Rs 475,,Unknown,Uncategorized
Jamming Mutton Biryani With Cucumber Pachdi,Jamming Mutton Biryani With Cucumber Pachdi is a  item priced at Rs 525.,,Rs 525,,Non-Vegetarian,Uncategorized
Jamming Mutton Sukka,Jamming Mutton Sukka is a  item priced at Rs 475.,,Rs 475,,Non-Vegetarian,Uncategorized
Jeera Rice,Jeera Rice is a  item priced at Rs 145.,,Rs 145,,Unknown,Uncategorized
Kadhai Paneer,Kadhai Paneer is a classic Indian vegetarian dish priced at Rs 375.,,Rs 375,,Vegetarian,Uncategorized
