Name,Description,Category,Price,Tags,Dietary_Info,Standard_Category
,,Pastry,,,Unknown,Pastry
,,Pastry,,,Unknown,Pastry
,,Pastry,,,Unknown,Pastry
,,Pastry,,,Unknown,Pastry
,,Pastry,,,Unknown,Pastry
,,Pastry,,,Unknown,Pastry
,,Pastry,,,Unknown,Pastry
,,Cookies,,,Unknown,Cookies
,,Cookies,,,Unknown,Cookies
,,Bakery,,,Unknown,Bakery
,,Bakery,,,Unknown,Bakery
,,Bakery,,,Unknown,Bakery
,,Bakery,,,Unknown,Bakery
,,Bakery,,,Unknown,Bakery
,,Bakery,,,Unknown,Bakery
,,Bakery,,,Unknown,Bakery
,,Bakery,,,Unknown,Bakery
,,Bakery,,,Unknown,Bakery
,,Bakery,,,Unknown,Bakery
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
BBQ Pork Pie,BBQ Pork Pie is a  item priced at Rs 145.,,Rs 145,,Non-Vegetarian,Uncategorized
Brown Sugar Iced Teh Boba,Brown Sugar Iced Teh Boba is a  item priced at Rs 320.,,Rs 320,,Unknown,Uncategorized
Carrot Kaya & Cashew Puff,Carrot Kaya & Cashew Puff is a  item priced at Rs 145.,,Rs 145,,Unknown,Uncategorized
Carrot Milk,Carrot Milk is a  item priced at Rs 350.,,Rs 350,,Unknown,Uncategorized
Chicken Rendang Pie,Chicken Rendang Pie is a delicious chicken dish priced at Rs 145.,,Rs 145,BESTSELLER,Non-Vegetarian,Uncategorized
