Name,Description,Category,Price,Tags,Dietary_Info,Standard_Category
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Pasta,,,Unknown,Pasta & Pizza
,,Sandwiches,,,Unknown,Sandwiches
,,Sandwiches,,,Unknown,Sandwiches
,,Sandwiches,,,Unknown,Sandwiches
,,Sandwiches,,,Unknown,Sandwiches
,,Sandwiches,,,Unknown,Sandwiches
,,Sandwiches,,,Unknown,Sandwiches
,,Sandwiches,,,Unknown,Sandwiches
,,Sandwiches,,,Unknown,Sandwiches
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
,,Drinks (Beverages),,,Unknown,Beverages
Black and White Shekerato,Black and White Shekerato is a  item priced at Rs 245.,,Rs 245,,Unknown,Uncategorized
Caramel Shekerato,Caramel Shekerato is a  item priced at Rs 230.,,Rs 230,,Unknown,Uncategorized
Chicken Club Sandwich,Chicken Club Sandwich is a delicious chicken dish priced at Rs 290.,,Rs 290,,Non-Vegetarian,Uncategorized
Chicken Penne Napolitana,Chicken Penne Napolitana is a delicious chicken dish priced at Rs 440.,,Rs 440,,Non-Vegetarian,Uncategorized
Chicken Penne Napolitana Mix Sauce,Chicken Penne Napolitana Mix Sauce is a delicious chicken dish priced at Rs 450.,,Rs 450,,Non-Vegetarian,Uncategorized
Chicken Penne and Cream Sauce,Chicken Penne and Cream Sauce is a delicious chicken dish priced at Rs 450.,,Rs 450,,Non-Vegetarian,Uncategorized
Chicken Sausage with Vegetables and Hot Peppers Sandwich,Chicken Sausage with Vegetables and Hot Peppers Sandwich is a delicious chicken dish priced at Rs 250.,,Rs 250,,Non-Vegetarian,Uncategorized
Chicken Tikka with Vegetables and Hot Peppers Sandwich,Chicken Tikka with Vegetables and Hot Peppers Sandwich is a delicious chicken dish priced at Rs 250.,,Rs 250,,Non-Vegetarian,Uncategorized
Choco Brownie Shake,Choco Brownie Shake is a  item priced at Rs 315.,,Rs 315,,Unknown,Uncategorized
Chocolate Milkshakes,Chocolate Milkshakes is a  item priced at Rs 200.,,Rs 200,,Unknown,Uncategorized
Cold Chicken Sandwich,Cold Chicken Sandwich is a delicious chicken dish priced at Rs 250.,,Rs 250,,Non-Vegetarian,Uncategorized
Hazelnut Shekerato,Hazelnut Shekerato is a  item priced at Rs 230.,,Rs 230,,Unknown,Uncategorized
Lemon Iced Tea,Lemon Iced Tea is a  item priced at Rs 140.,,Rs 140,,Unknown,Uncategorized
Paneer Tikka with Vegetables and Hot Peppers Sandwich,Paneer Tikka with Vegetables and Hot Peppers Sandwich is a classic Indian vegetarian dish priced at Rs 230.,,Rs 230,,Vegetarian,Uncategorized
Peach Iced Tea,Peach Iced Tea is a  item priced at Rs 160.,,Rs 160,,Unknown,Uncategorized
Penne Pasta Napolitana,Penne Pasta Napolitana is a  item priced at Rs 330.,,Rs 330,,Unknown,Uncategorized
Penne Pasta Napolitana Mix Sauce,Penne Pasta Napolitana Mix Sauce is a  item priced at Rs 440.,,Rs 440,,Unknown,Uncategorized
Penne Pasta and Cream Sauce,Penne Pasta and Cream Sauce is a  item priced at Rs 450.,,Rs 450,,Unknown,Uncategorized
Raspberry Iced Tea,Raspberry Iced Tea is a  item priced at Rs 160.,,Rs 160,,Unknown,Uncategorized
Shrimp Penne Napolitana,Shrimp Penne Napolitana is a  item priced at Rs 450.,,Rs 450,,Non-Vegetarian,Uncategorized
Shrimp Penne and Cream Sauce,Shrimp Penne and Cream Sauce is a  item priced at Rs 450.,,Rs 450,,Non-Vegetarian,Uncategorized
Spaghetti Napolitana,Spaghetti Napolitana is a  item priced at Rs 330.,,Rs 330,,Unknown,Uncategorized
Spaghetti Napolitana Mix Sauce,Spaghetti Napolitana Mix Sauce is a  item priced at Rs 440.,,Rs 440,,Unknown,Uncategorized
Strawberry Milkshakes,Strawberry Milkshakes is a  item priced at Rs 200.,,Rs 200,,Unknown,Uncategorized
Tuna Fish Sandwich,Tuna Fish Sandwich is a  item priced at Rs 250.,,Rs 250,,Non-Vegetarian,Uncategorized
Vanilla Milkshakes,Vanilla Milkshakes is a  item priced at Rs 200.,,Rs 200,,Unknown,Uncategorized
Veg Club Sandwich,Veg Club Sandwich is a  item priced at Rs 250.,,Rs 250,,Vegetarian,Uncategorized
Vegetables with Hot Peppers and Slice Cheese Sandwich,Vegetables with Hot Peppers and Slice Cheese Sandwich is a  item priced at Rs 230.,,Rs 230,,Vegetarian,Uncategorized
White Mocha Shekerato,White Mocha Shekerato is a  item priced at Rs 230.,,Rs 230,,Unknown,Uncategorized
