Name,Description,Category,Price,Tags,Dietary_Info,Standard_Category
,,Soups and Salad,,,Unknown,Soups and salad
,,Soups and Salad,,,Unknown,Soups and salad
,,Soups and Salad,,,Unknown,Soups and salad
,,Soups and Salad,,,Unknown,Soups and salad
,,Soups and Salad,,,Unknown,Soups and salad
,,Soups and Salad,,,Unknown,Soups and salad
,,Soups and Salad,,,Unknown,Soups and salad
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Starters,,,Unknown,Appetizers
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Main Course,,,Unknown,Main Courses
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Breads,,,Unknown,Breads
,,Rice and Biryani,,,Unknown,Rice and biryani
,,Rice and Biryani,,,Unknown,Rice and biryani
,,Rice and Biryani,,,Unknown,Rice and biryani
,,Rice and Biryani,,,Unknown,Rice and biryani
,,Rice and Biryani,,,Unknown,Rice and biryani
,,Rice and Biryani,,,Unknown,Rice and biryani
,,Dosa,,,Unknown,Dosa
,,Fried Rice and Noodles,,,Unknown,Fried rice and noodles
,,Fried Rice and Noodles,,,Unknown,Fried rice and noodles
,,Fried Rice and Noodles,,,Unknown,Fried rice and noodles
,,Fried Rice and Noodles,,,Unknown,Fried rice and noodles
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
,,Snacks,,,Unknown,Snacks
