Name,Description,Category,Price,Tags,Dietary_Info,Standard_Category
,,Kudix Bites - Quick Bites,,,Unknown,Kudix bites - quick bites
,,Kudix Bites - Quick Bites,,,Unknown,Kudix bites - quick bites
,,Kudix Bites - Quick Bites,,,Unknown,Kudix bites - quick bites
,,Appetizers,,,Unknown,Appetizers
,,Appetizers,,,Unknown,Appetizers
,,Appetizers,,,Unknown,Appetizers
,,Appetizers,,,Unknown,Appetizers
,,Appetizers,,,Unknown,Appetizers
,,Appetizers,,,Unknown,Appetizers
,,Appetizers,,,Unknown,Appetizers
,,Appetizers,,,Unknown,Appetizers
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Wood Fired Pizzas,,,Unknown,Pasta & Pizza
,,Light Meals,,,Unknown,Light meals
,,Light Meals,,,Unknown,Light meals
,,Light Meals,,,Unknown,Light meals
,,Light Meals,,,Unknown,Light meals
,,Light Meals,,,Unknown,Light meals
,,Sandwiches & Burgers,,,Unknown,Sandwiches & burgers
,,Sandwiches & Burgers,,,Unknown,Sandwiches & burgers
,,Sandwiches & Burgers,,,Unknown,Sandwiches & burgers
,,Sandwiches & Burgers,,,Unknown,Sandwiches & burgers
,,Sandwiches & Burgers,,,Unknown,Sandwiches & burgers
,,Sandwiches & Burgers,,,Unknown,Sandwiches & burgers
,,Large Plates,,,Unknown,Large plates
,,Large Plates,,,Unknown,Large plates
,,Large Plates,,,Unknown,Large plates
,,Large Plates,,,Unknown,Large plates
,,Large Plates,,,Unknown,Large plates
,,Large Plates,,,Unknown,Large plates
,,Large Plates,,,Unknown,Large plates
