Name,Description,Category,Price,Tags
,,Soups,,
,,Soups,,
,,Soups,,
,,Soups,,
,,Soups,,
,,Soups,,
,,Soups,,
,,Soups,,
,,Salads,,
,,Salads,,
,,Salads,,
,,Salads,,
,,Salads,,
,,Salads,,
,,Salads,,
,,Salads,,
,,Salads,,
,,Salads,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Biryani,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Pizza and Pasta,,
,,Pizza and Pasta,,
,,Pizza and Pasta,,
,,Pizza and Pasta,,
,,Pizza and Pasta,,
,,Pizza and Pasta,,
,,Pizza and Pasta,,
,,Pizza and Pasta,,
,,Pizza and Pasta,,
,,Pizza and Pasta,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Dimsums,,
,,Dimsums,,
,,Dimsums,,
,,Dimsums,,
,,Dimsums,,
,,Dimsums,,
,,Dimsums,,
,,Dimsums,,
,,Baos,,
,,Baos,,
,,Baos,,
,,Baos,,
,,Baos,,
,,Baos,,
,,Baos,,
,,Sushi,,
,,Sushi,,
,,Sushi,,
,,Sushi,,
,,Sushi,,
,,Sushi,,
,,Fried Wontons,,
,,Fried Wontons,,
,,Fried Wontons,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,Pan Asian Large Plates,,
,,European Large Plates,,
,,European Large Plates,,
,,European Large Plates,,
,,European Large Plates,,
,,European Large Plates,,
,,Accompaniments,,
,,Accompaniments,,
,,Desserts,,
,,Desserts,,
,,Desserts,,
,,Desserts,,
Amritsari Chicken Keema Bao,,,Rs 625,
Amritsari Paneer Bhurji Bao,,,Rs 525,
Asian Green Sliced Sichuan Chilli Oil,,,Rs 595,
Asian Vegetable Wonton,,,Rs 495,
Asparagus Tempura Sushi [8 Pieces],,,Rs 895,
Asparagus Water Chestnut and Sichuan Chilli Dimsums [12 inches],,,Rs 595,
Baked Fusilli Primavera Pasta,,,Rs 595,
Basil Pesto Spaghetti Pasta,,,Rs 595,
