Name,Description,Category,Price,Tags
,,Party Combos [newly added],,
,,Party Combos [newly added],,
,,Party Combos [newly added],,
,,Party Combos [newly added],,
,,Party Combos [newly added],,
,,Party Combos [newly added],,
,,Party Combos [newly added],,
,,Party Combos [newly added],,
,,Party Combos [newly added],,
,,Party Combos [newly added],,
,,Chotu's Mast Vada Pav [special offers],,
,,Chotu's Mast Vada Pav [special offers],,
,,Chotu's Mast Vada Pav [special offers],,
,,Chotu's Mast Vada Pav [special offers],,
,,Chotu's Mast Vada Pav [special offers],,
,,Chotu's Mast Vada Pav [special offers],,
,,Chotu's Mast Vada Pav [special offers],,
,,Chotu's Mast Pav,,
,,Chotu's Mast Pav,,
,,Chotu's Mast Pav,,
,,Chotu's Mast Pav,,
,,Chotu's Mast Pav,,
,,Chotu's Mast Pav,,
,,Chotu's Mast Pav,,
,,Chotu's Mast Pav,,
,,All Day Breakfast,,
,,All Day Breakfast,,
,,All Day Breakfast,,
,,All Day Breakfast,,
,,All Day Breakfast,,
,,Chai aur Pakoda,,
,,Chai aur Pakoda,,
,,Chai aur Pakoda,,
,,Chai aur Pakoda,,
,,Chai aur Pakoda,,
,,Pav Bhaji,,
,,Pav Bhaji,,
,,Pav Bhaji,,
,,Pav Bhaji,,
,,Pav Bhaji,,
,,Pav Bhaji,,
,,Kebabs & Tikkas,,
,,Kebabs & Tikkas,,
,,Kebabs & Tikkas,,
,,Kebabs & Tikkas,,
,,Kebabs & Tikkas,,
,,Kebabs & Tikkas,,
,,Kebabs & Tikkas,,
,,Kebabs & Tikkas,,
,,Kebabs & Tikkas,,
,,Kebabs & Tikkas,,
,,Momos,,
,,Momos,,
,,Momos,,
,,Momos,,
,,Dumplings,,
,,Dumplings,,
,,Dumplings,,
,,Chinese Starters,,
,,Chinese Starters,,
,,Chinese Starters,,
,,Chinese Starters,,
,,Chinese Starters,,
,,Chinese Starters,,
,,Chinese Starters,,
,,Chinese Starters,,
,,Chinese Starters,,
,,Chinese Starters,,
,,Chinese Starters,,
,,Soups [winter special],,
,,Soups [winter special],,
,,Soups [winter special],,
,,Soups [winter special],,
,,Garlic Bread,,
,,Garlic Bread,,
,,Garlic Bread,,
,,Garlic Bread,,
,,Garlic Bread,,
,,Garlic Bread,,
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Indian Rice Bowls,,
,,Indian Rice Bowls,,
,,Indian Rice Bowls,,
,,Indian Rice Bowls,,
,,Indian Rice Bowls,,
,,Indian Rice Bowls,,
,,Indian Rice Bowls,,
,,Chinese Combos,,
,,Chinese Combos,,
,,Asian Mains,,
,,Asian Mains,,
,,Asian Mains,,
,,Asian Mains,,
,,Asian Mains,,
,,Asian Mains,,
,,Asian Mains,,
,,Asian Mains,,
,,Asian Mains,,
,,Rice and Noodles,,
,,Rice and Noodles,,
,,Rice and Noodles,,
,,Rice and Noodles,,
,,Rice and Noodles,,
,,Rice and Noodles,,
,,Rice and Noodles,,
,,Rice and Noodles,,
,,Rice and Noodles,,
,,Rice and Noodles,,
,,Rice and Noodles,,
,,Indian Mains | Home Style,,
,,Indian Mains | Home Style,,
,,Indian Mains | Home Style,,
,,Chotu's Special Tawa,,
,,Chotu's Special Tawa,,
,,Chotu's Special Tawa,,
,,Chotu's Special Tawa,,
,,Chotu's Special Tawa,,
,,Chotu's Special Tawa,,
,,Indian Mains | Non Veg,,
,,Indian Mains | Non Veg,,
,,Indian Mains | Non Veg,,
,,Indian Mains | Non Veg,,
,,Indian Mains | Veg,,
,,Indian Mains | Veg,,
,,Indian Mains | Veg,,
,,Indian Mains | Veg,,
,,Indian Mains | Dal,,
,,Indian Mains | Dal,,
,,Indian Mains | Dal,,
,,Indian Mains | Dal,,
,,Indian Mains | Dal,,
,,Biryani & Rice,,
,,Biryani & Rice,,
,,Biryani & Rice,,
,,Biryani & Rice,,
,,Biryani & Rice,,
,,Biryani & Rice,,
,,Biryani & Rice,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Accompaniments,,
,,Accompaniments,,
,,Accompaniments,,
,,Accompaniments,,
,,Accompaniments,,
,,Desserts,,
,,Desserts,,
,,Bakery & Cakes,,
,,Bakery & Cakes,,
A Dozen Vada Pav - Large,,,Rs 899,
A Dozen Vada Pav Sliders!,,,Rs 449,
Add Extra Kulcha [2pc],,,Rs 79,
Afghani Chicken Biryani,,,Rs 449,
Aloo Gobhi,,,Rs 299,
Aloo Mattar,,,Rs 199,
Aloo Pyaz Kulcha with Rajma,,,Rs 269,
American Chopsuey,,,Rs 349,
Amritsari Kulcha,,,Rs 149,
Anda Bhurji Pav,,,Rs 199,
Assorted Momo Party Box [Non-Veg],,,Rs 899,
Assorted Momo Party Box [Veg],,,Rs 699,
Assorted Slider Box with Galouti Pav & Vada Pav,,,Rs 1799,
Black Pepper Prawns,,,Rs 899,
