Name,Description,Category,Price,Tags
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Bowls,,
,,Bowls,,
,,Bowls,,
,,Bowls,,
,,Bowls,,
,,Bowls,,
,,Bowls,,
,,Bowls,,
,,Bowls,,
,,Sushi,,
,,Sushi,,
,,Sushi,,
,,Sushi,,
,,Sushi,,
,,Sushi,,
,,Sushi,,
,,Sushi,,
,,Burgers,,
,,Burgers,,
,,Burgers,,
,,Burgers,,
,,Burgers,,
,,Meal Box,,
,,Meal Box,,
,,Meal Box,,
,,Meal Box,,
,,Meal Box,,
,,Meal Box,,
,,Meal Box,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Mains,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Rice & Noodles,,
,,Rice & Noodles,,
,,Rice & Noodles,,
,,Rice & Noodles,,
,,Rice & Noodles,,
,,Rice & Noodles,,
,,Rice & Noodles,,
,,Rice & Noodles,,
,,Rice & Noodles,,
,,Rice & Noodles,,
,,Rice & Noodles,,
,,Dessert,,
,,Dessert,,
,,Dessert,,
,,Dessert,,
,,Dessert,,
,,Dessert,,
"Achari Paneer Tikka, Mint Chutney",,,Rs 375,
Andhra Chilli Chicken,,,Rs 375,
"Apple Jalebi, Kadhaa Doodh",,,Rs 395,
Asparagus Garden Sushi,,,Rs 345,
Burnt Garlic Fried Rice,,,Rs 215,
Butter Chicken Masala And Dal Makhni Meal Box,,,Rs 395,
Cafreal Chicken Tikka,,,Rs 435,
Chicken Burnt Garlic Fried Rice,,,Rs 315,
Chicken Ghee Roast,,,Rs 375,
Chicken Goli Kebaba,,,Rs 315,
Chicken Hakka Noodles,,,Rs 315,
Chicken Tikka Masala,,,Rs 425,
Chilli Paratha,,,Rs 115,
Chocolate 75%,,,Rs 395,
Dal Fry,,,Rs 275,
Dal Khichdi,,,Rs 195,
Dal Makhni,,,Rs 295,
Dal Makhni Rice Bowl,,,Rs 235,
Dal Tadka,,,Rs 275,
Delhi Style Tandoori Soya Chap,,,Rs 345,
Egg Burnt Garliv Fried Rice,,,Rs 275,
Egg Hakka Noodles,,,Rs 275,
