Name,Description,Category,Price,Tags
,,Pastry,,
,,Pastry,,
,,Pastry,,
,,Pastry,,
,,Pastry,,
,,Pastry,,
,,Pastry,,
,,Cookies,,
,,Cookies,,
,,Bakery,,
,,Bakery,,
,,Bakery,,
,,Bakery,,
,,Bakery,,
,,Bakery,,
,,Bakery,,
,,Bakery,,
,,Bakery,,
,,Bakery,,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
BBQ Pork Pie,,,Rs 145,
Brown Sugar Iced Teh Boba,,,Rs 320,
Carrot Kaya & Cashew Puff,,,Rs 145,
Carrot Milk,,,Rs 350,
Chicken Rendang Pie,,,Rs 145,BESTSELLER
Chocolate Decadent Cake,,,Rs 180,
Chocolate Roll Cake With A Milk Chocolate Coffee Frosting,,,Rs 180,
Classic Carrot & Walnut Cake,,,Rs 220,
Classic Milo (Hot),,,Rs 260,
Classic Milo (cold),,,Rs 260,BESTSELLER
Coffee Custard Papa Roti,,,Rs 135,
Egg Sambal Puff,,,Rs 145,
Egg Tart,,,Rs 135,
Horlicks-teh Boba,,,Rs 320,
Iced Cham With Milk,,,Rs 220,
Kaya Milk Shake,,,Rs 300,
Kopi (Hot),,,Rs 220,
Kopi (cold),,,Rs 220,BESTSELLER
Kopi C (Cold),,,Rs 220,
Kopi C (Hot),,,Rs 220,
Kopi Cola,,,Rs 240,
Kopi Ice Boba,,,Rs 320,
Kopi Kaya,,,Rs 300,
Kopi O (Cold),,,Rs 180,
Kopi O (Hot),,,Rs 180,
Kopiccino,,,Rs 220,
Lemon Loaf Cake,,,Rs 180,
Pandan Chiffon Cake With Coconut Frosting,,,Rs 180,BESTSELLER
Pandan Coconut Tart,,,Rs 135,
Passion Fruit & Orange Berliner,,,Rs 135,
Peanut Mochi Cookies,,,Rs 80,
Pineapple Tart,,,Rs 80,
Rose Milk,,,Rs 300,
Sugar Doughnut,,,Rs 150,
Teh (Hot),,,Rs 220,
Teh (cold),,,Rs 220,
Teh C (Hot),,,Rs 220,
Teh-C (Cold),,,Rs 220,
Teh-o (Hot),,,Rs 180,
Teh-o (cold),,,Rs 180,
Vanilla Castella Cake,,,Rs 135,
Vanilla Roll Cake With Strawberry Jam,,,Rs 180,
Walnut Coffee Cookies,,,Rs 80,
