Name,Description,Category,Price,Tags
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Pasta,,
,,Sandwiches,,
,,Sandwiches,,
,,Sandwiches,,
,,Sandwiches,,
,,Sandwiches,,
,,Sandwiches,,
,,Sandwiches,,
,,Sandwiches,,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
,,Drinks (Beverages),,
Black and White Shekerato,,,Rs 245,
Caramel Shekerato,,,Rs 230,
Chicken Club Sandwich,,,Rs 290,
Chicken Penne Napolitana,,,Rs 440,
Chicken Penne Napolitana Mix Sauce,,,Rs 450,
Chicken Penne and Cream Sauce,,,Rs 450,
Chicken Sausage with Vegetables and Hot Peppers Sandwich,,,Rs 250,
Chicken Tikka with Vegetables and Hot Peppers Sandwich,,,Rs 250,
Choco Brownie Shake,,,Rs 315,
Chocolate Milkshakes,,,Rs 200,
Cold Chicken Sandwich,,,Rs 250,
Hazelnut Shekerato,,,Rs 230,
Lemon Iced Tea,,,Rs 140,
Paneer Tikka with Vegetables and Hot Peppers Sandwich,,,Rs 230,
Peach Iced Tea,,,Rs 160,
Penne Pasta Napolitana,,,Rs 330,
Penne Pasta Napolitana Mix Sauce,,,Rs 440,
Penne Pasta and Cream Sauce,,,Rs 450,
Raspberry Iced Tea,,,Rs 160,
Shrimp Penne Napolitana,,,Rs 450,
Shrimp Penne and Cream Sauce,,,Rs 450,
Spaghetti Napolitana,,,Rs 330,
Spaghetti Napolitana Mix Sauce,,,Rs 440,
Strawberry Milkshakes,,,Rs 200,
Tuna Fish Sandwich,,,Rs 250,
Vanilla Milkshakes,,,Rs 200,
Veg Club Sandwich,,,Rs 250,
Vegetables with Hot Peppers and Slice Cheese Sandwich,,,Rs 230,
White Mocha Shekerato,,,Rs 230,
