Name,Description,Category,Price,Tags
,,Soups and Salad,,
,,Soups and Salad,,
,,Soups and Salad,,
,,Soups and Salad,,
,,Soups and Salad,,
,,Soups and Salad,,
,,Soups and Salad,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Starters,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Main Course,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Breads,,
,,Rice and Biryani,,
,,Rice and Biryani,,
,,Rice and Biryani,,
,,Rice and Biryani,,
,,Rice and Biryani,,
,,Rice and Biryani,,
,,Dosa,,
,,Fried Rice and Noodles,,
,,Fried Rice and Noodles,,
,,Fried Rice and Noodles,,
,,Fried Rice and Noodles,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Snacks,,
,,Accompaniment,,
4 Neer Dosa,,,Rs 90,
Andra Style Chilli Chicken,,,Rs 220,
Anjal Masala Fry,,,Rs 400,
Anjal Rava Fry,,,Rs 400,
Anjal Tawa Fry,,,Rs 400,
Baby Corn Chilli,,,Rs 190,
Baby Corn Ghee Roast,,,Rs 260,
Baby Corn Pepper Dry,,,Rs 170,
Baby Corn Urval,,,Rs 220,
Bangada Fry,,,Rs 220,
Beer Battered Fish,,,Rs 250,
Beer Battered Prawns [8 Pieces],,,Rs 260,
Beer Onion Rings,,,Rs 150,
Boiled Corn,,,Rs 160,
Boiled Corn Ghee,,,Rs 160,
Boiled Eggs [3 Eggs],,,Rs 100,
Butter Chicken Masala,,,Rs 240,
Butter Garlic Cheese Chicken,,,Rs 230,
Butter Garlic Paneer,,,Rs 200,
Butter Garlic Prawns [8 Pieces],,,Rs 260,
Butter Kulcha,,,Rs 50,
Butter Naan,,,Rs 55,
Butter Roti,,,Rs 45,
Chicken 65,,,Rs 230,
Chicken Clear Sour Soup,,,Rs 150,
Chicken Curry Masala,,,Rs 240,
Chicken Fried Rice,,,Rs 200,
Chicken Fry,,,Rs 220,
Chicken Ghee Roast,,,Rs 280,
Chicken Hakka Noodles,,,Rs 210,
Chicken Hyderabadi,,,Rs 240,
Chicken Kabab,,,Rs 200,
Chicken Kolhapuri,,,Rs 250,
Chicken Lollipop,,,Rs 220,BESTSELLER
Chicken Majestic,,,Rs 230,
Chicken Manchow Soup,,,Rs 180,
Chicken Pepper Fry,,,Rs 230,
Chicken Sukka,,,Rs 260,
Chicken Sweet Corn Soup,,,Rs 180,
Chicken Tikka Masala,,,Rs 260,
Chicken Tikka Tandoori,,,Rs 230,
Chicken Urval,,,Rs 230,
Chilli Chicken,,,Rs 230,
Chilli Prawns,,,Rs 280,
Clear Soup,,,Rs 120,
Corn Cheese Balls,,,Rs 180,
Crab Ghee Roast,,,Rs 550,
Crab Sukka,,,Rs 500,
Crispy Corn,,,Rs 170,
Curd Rice,,,Rs 150,
Dal Khichdi,,,Rs 170,
Dal Tadka,,,Rs 190,
Egg 65,,,Rs 180,
Egg Bhurji,,,Rs 120,
Egg Fried Rice,,,Rs 180,
Egg Pepper Dry,,,Rs 175,
Fish Kabab,,,Rs 200,
Fish and Chips,,,Rs 260,
French Chicken Boneless,,,Rs 220,
French Fries with Dip,,,Rs 140,
Garlic Kulcha,,,Rs 50,
Garlic Naan,,,Rs 55,
Garlic Roti,,,Rs 40,
Ghee Rice,,,Rs 170,
Gobi 65,,,Rs 180,
Gobi Chilli,,,Rs 190,
Gobi Manchurian,,,Rs 190,
Green Peas Fry,,,Rs 160,
Green Peas Masala,,,Rs 170,
Green Peas Pepper Dry,,,Rs 160,
Green Salad,,,Rs 100,
Guntur Chicken,,,Rs 220,BESTSELLER
Indian Style Crispy Lotus Stem,,,Rs 160,
Jeegujje Fry,,,Rs 250,
Jeera Rice,,,Rs 170,
Kaad Kanchel Pepper Fry,,,Rs 250,
Kane Masala Fry,,,Rs 300,
Kane Rava Fry,,,Rs 300,
Kane Tawa Fry,,,Rs 300,
Kori Rotti Curry,,,Rs 260,
Lemon Chicken Boneless,,,Rs 220,
Marwai Sukka,,,Rs 220,
Masala Cheese Omelette,,,Rs 150,
Masala Tandoori Papad,,,Rs 100,
Mix Veg Urval,,,Rs 220,
Mushroom Chilli,,,Rs 190,
Mushroom Ghee Roast,,,Rs 260,
Mushroom Omelette,,,Rs 150,
Mushroom Pepper Dry,,,Rs 170,
Mushroom Urval,,,Rs 220,
Mutton Fry,,,Rs 300,
Mutton Ghee Roast,,,Rs 330,
Mutton Keema Ball,,,Rs 300,
Mutton Pepper Fry,,,Rs 300,
Mutton Sukka,,,Rs 310,
Omelette [2 Eggs],,,Rs 120,
Palak Khichdi,,,Rs 200,
Palak Paneer,,,Rs 210,
Palak Rice,,,Rs 190,
Paneer Bhurji,,,Rs 210,
Paneer Butter Masala,,,Rs 210,
Paneer Chilli,,,Rs 190,
Paneer Ghee Roast,,,Rs 260,
Paneer Pepper Dry,,,Rs 170,
Paneer Urval,,,Rs 240,
Peanut Masala,,,Rs 100,
Peri Peri Chicken,,,Rs 230,
Plain Kulcha,,,Rs 55,
Plain Naan,,,Rs 50,
