Name,Description,Category,Price,Tags
,,Kudix Bites - Quick Bites,,
,,Kudix Bites - Quick Bites,,
,,Kudix Bites - Quick Bites,,
,,Appetizers,,
,,Appetizers,,
,,Appetizers,,
,,Appetizers,,
,,Appetizers,,
,,Appetizers,,
,,Appetizers,,
,,Appetizers,,
,,Wood Fired Pizzas,,
,,Wood Fired Pizzas,,
,,Wood Fired Pizzas,,
,,Wood Fired Pizzas,,
,,Wood Fired Pizzas,,
,,Wood Fired Pizzas,,
,,Wood Fired Pizzas,,
,,Wood Fired Pizzas,,
,,Wood Fired Pizzas,,
,,Wood Fired Pizzas,,
,,Wood Fired Pizzas,,
,,Wood Fired Pizzas,,
,,Wood Fired Pizzas,,
,,Light Meals,,
,,Light Meals,,
,,Light Meals,,
,,Light Meals,,
,,Light Meals,,
,,Sandwiches & Burgers,,
,,Sandwiches & Burgers,,
,,Sandwiches & Burgers,,
,,Sandwiches & Burgers,,
,,Sandwiches & Burgers,,
,,Sandwiches & Burgers,,
,,Large Plates,,
,,Large Plates,,
,,Large Plates,,
,,Large Plates,,
,,Large Plates,,
,,Large Plates,,
,,Large Plates,,
,,Large Plates,,
,,Desserts,,
,,Desserts,,
,,Desserts,,
,,Desserts,,
,,Desserts,,
Andhra Chilli Chicken,,,Rs 350,
Asian Chicken Salad,,,Rs 350,
Asian Tofu Salad,,,Rs 350,
BBQ Chicken,,,Rs 625,
Baked Mysuru Pak,,,Rs 325,SEASONAL
Banana Slivers,,,Rs 150,
Bangers & Mash,,,Rs 525,
Beer-Battered Prawns,,,Rs 450,
"Beetroot, Orange & Quinoa Salad",,,Rs 350,
Broccoli Cheddar Melt,,,Rs 275,
Calamari Frito,,,Rs 450,BESTSELLER
Carib Chicken,,,Rs 625,
Cheesy Gunpowder Potato Fries,,,Rs 275,
Chicken 62,,,Rs 350,BESTSELLER
Chickpea Feta Sliders,,,Rs 375,
Chilli Dusted Goldfingers,,,Rs 150,
Citrus Glazed Salmon,,,Rs 850,BESTSELLER
Donne Biryani - Chicken,,,Rs 425,
Donne Biryani - Lamb,,,Rs 475,
Donne Biryani - Tender Jackfruit,,,Rs 375,VEGAN
Edamame & Asparagus Risotto,,,Rs 425,
Farmer's Market Salad,,,Rs 350,
Farmhouse Grilled Chicken,,,Rs 450,
Fried Lamb Brain Potlums,,,Rs 350,
Full On Club Sandwich,,,Rs 425,
Goan Sausage,,,Rs 700,
Golden Fried Onion Rings,,,Rs 275,
Grilled Harissa Cottage Cheese,,,Rs 300,
Haleem Samosa,,,Rs 400,
Hot N Sour Tofu Bowl,,,Rs 425,
Lamb & Fig,,,Rs 675,
Lamb & Mushroom Pappardelle Pasta,,,Rs 525,
Layer Cake,,,Rs 425,
Life is a Beach!,,,Rs 425,
Lotus Seeds,,,Rs 150,
Margherita,,,Rs 500,BESTSELLER
Morrocan Vegetable Tagine,,,Rs 425,
Okra Podi Chips,,,Rs 275,
Orange & Walnut Cake,,,Rs 325,
Penne All' Arrabbiata,,,Rs 375,
Peruvian Chicken Sandwich,,,Rs 400,
Pesto Grilled Veggies,,,Rs 575,
Pork Pepperoni,,,Rs 725,
Pork Ribs,,,Rs 450,SPICY
Puliyogare Poppers,,,Rs 275,
Pulled Lamb Burger,,,Rs 525,
Red Wine Braised Lamb Shanks,,,Rs 550,
"Roasted Onion, Feta & Asparagus",,,Rs 600,
Roasted Veggie & Scamorza Panini,,,Rs 375,
Sautéed Field Mushroom,,,Rs 375,
Shrimp-ly The Best,,,Rs 650,
Smoky Habanero Chicken Wings,,,Rs 350,
Southern Fried Chicken Burger,,,Rs 425,
Spaghetti Aglio E Olio,,,Rs 375,
Spicy Chicken,,,Rs 625,BESTSELLER
Spinach & Mascarpone Agnoletti,,,Rs 425,
Stuffed Chicken Wingettes,,,Rs 375,SPICY
Tartufo,,,Rs 575,
Toit Baked Nachos,,,Rs 300,BESTSELLER
Traditional Baked Cheesecake,,,Rs 325,
Traditional Scotch Egg,,,Rs 400,
Veg Full House,,,Rs 575,
Vegan Fellows,,,Rs 575,
Warm Apple Crumble,,,Rs 325,
Watermelon & Feta salad,,,Rs 350,
West Coast Pepper Mutton,,,Rs 475,
